ID	ww_ave_yield
461011864	2249.742258
461011868	2039.150323
461011873	2144.184194
461011877	1841.622903
461011898	1798.456774
461011902	931.5951613
461011906	1112.05871
461011910	1212.706774
461011914	1279.783871
461011918	1283.039677
461011923	1266.676774
461011927	1335.781613
461011931	1475.53
461011935	1500.899677
461011939	1421.030968
461011943	1316.14
461011948	1175.064194
461011952	1067.113226
461011956	1109.329032
461011960	1020.134839
461011964	965.3874194
461011968	969.5509677
461011972	1054.776452
461011977	1171.26129
461011981	1130.046452
461011985	1181.769355
461011989	1288.720645
461011993	1380.846452
461012006	1899.074194
461012010	2117.239355
461411602	7170.774194
461411606	7173.767419
461411610	7026.234194
461411614	6739.276129
461411618	5782.674516
461411623	5599.061935
461411627	5698.884516
461411631	5958.38129
461411635	6061.70871
461411639	6249.183548
461411643	6393.84129
461411648	6435.285161
461411652	6522.057419
461411656	6700.43
461411660	6885.422581
461411698	2155.713871
461411702	1916.602903
461411706	2554.78
461411710	3317.913548
461411714	3528.275161
461411718	3371.381935
461411802	8447.545484
461411806	7988.89
461411810	7674.455484
461411814	7426.546774
461411818	6859.654839
461411823	6166.279032
461411827	4800.875806
461411831	4038.066129
461411835	3602.24
461411839	3588.303226
461411843	3328.802903
461411848	3246.121935
461411852	3481.932581
461411856	3690.540968
461411860	3288.274194
461411864	3488.770645
461411868	2093.578387
461411873	1916.769032
461411877	2432.645484
461411902	1596.429032
461411906	1631.745161
461411910	756.0680645
461411914	849.3251613
461411918	925.9680645
461411923	976.6396774
461411927	1037.242581
461411931	1128.520323
461411935	1257.006774
461411939	1426.246129
461411943	1378.966452
461411948	1251.104839
461411952	1148.933226
461411956	1071.304516
461411960	1130.613226
461411964	1071.356452
461411968	1120.092903
461411972	1132.492903
461411977	1283.419032
461411981	1398.767419
461411985	1405.641613
461411989	1369.846129
461411993	1488.448065
461411997	1320.352903
461412002	1172.834516
461811602	6507.619032
461811606	6814.20871
461811610	6763.513871
461811614	5986.428065
461811618	5134.861935
461811623	5131.81
461811627	5206.884516
461811631	5486.314194
461811635	5822.405161
461811639	6004.184194
